Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.axionenergy.on,100,1,es,beyond0,2023-04-01T01:47:02Z,1.68031E+12,2023-04-01T01:47:02Z,1.68031E+12,1,,"La primera vez no me habilitaba el botón ""Siguiente"" en el registro. Ahora que me pude registrar y usar el descuento de bienvenida queda en un loop infinito de botones de ""Entendido"" ""Entendido"" ""Entendido"" ""Finalizar"" ""Entendido"" y así hasta la segunda venida de Jesucristo. Quien les haya hecho la app se tiene que poner media pila o devolverles la plata.",2023-04-06T21:37:31Z,1.68082E+12,"Hola Nicolás Franco, agradecemos tu mensaje, estamos trabajando en mejorar la experiencia de usuario en nuestra app. Tendremos en cuenta tu comentario y esperamos que nos sigas acompañando. ¡Gracias! ",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=b7c7d70c-6007-477d-8a42-a90ed5e5813c&corpus=PUBLIC_REVIEWS
com.axionenergy.on,100,1,es,tundra,2023-04-01T23:01:23Z,1.68039E+12,2023-04-01T23:01:23Z,1.68039E+12,1,,Me pude registrar y me hizo un descuento de $600 sobre $12.000.- luego quise observar de qué se trata la aplicación porque se ve mucha información pero funciona mal. Me arroja un tutorial todo el tiempo.,2023-04-06T21:58:09Z,1.68082E+12,"Hola Samuel Clavellino, agradecemos tu mensaje, estamos trabajando en mejorar la experiencia de usuario en nuestra app. Tendremos en cuenta tu comentario y esperamos que nos sigas acompañando. ¡Gracias! ",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=9463fda0-ca76-4909-ad2c-02e04b7d8ff5&corpus=PUBLIC_REVIEWS
com.axionenergy.on,100,1,es,sofiar,2023-04-02T01:48:06Z,1.6804E+12,2023-04-02T02:58:05Z,1.6804E+12,1,,"Imposible loguearme, solo facilitando el número de documento en la estación de servicio al playero se puede hacer algo. Imposible ralizar cualquier acción en la aplicación. Un desastre el desarrollo de la misma, pésimo servicio, mejoren por favor ya que soy cliente frecuente.",2023-04-06T21:59:07Z,1.68082E+12,"Hola Marcelo Allende, agradecemos tu mensaje, estamos trabajando en mejorar la experiencia de usuario en nuestra app. Tendremos en cuenta tu comentario y esperamos que nos sigas acompañando. Ante cualquier consulta, no dudes en llamarnos al 0800-888-0282 para poder ayudarte. ¡Gracias!",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=4b88e635-7744-417f-9857-0573a1ac42ed&corpus=PUBLIC_REVIEWS
com.axionenergy.on,100,1,es,eqs,2023-04-02T22:38:57Z,1.68048E+12,2023-04-02T22:38:57Z,1.68048E+12,1,,"No puedo terminar de loguearme, no me deja terminar el segundo campo. Cuando coloco la segunda contraseña vuelo al mail Por otro lado pueden ponerlo más fácil la fecha de nacimiento, eso de tener que ir para atrás es muy malo para los que tenemos más de 50 años. Gracias",2023-04-06T21:59:57Z,1.68082E+12,"Hola daniel Fariña, agradecemos tu mensaje, estamos trabajando en mejorar la experiencia de usuario en nuestra app.Respecto a la fecha de nacimiento, podés hacer clic en el año y seleccionar el año de tu nacimiento sin tener que ir para atrás mes por mes.Por favor comunicate con nosotros al 0800-888-0282 para poder ayudarte con tu loguín.¡Gracias! ",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=8e32477a-1a64-4c73-a5b3-860374de576f&corpus=PUBLIC_REVIEWS
com.axionenergy.on,100,1,es,astro,2023-04-03T02:17:32Z,1.68049E+12,2023-04-03T02:17:32Z,1.68049E+12,1,,"Un desastre, pura burocracia, te bajas la app pero no sirve para nada ni el cupón ni nada cuando vas a la estación solo te piden el dni. Y como si fuera poco el descuento no me lo hicieron.",2023-04-06T22:02:59Z,1.68082E+12,"Hola Ezequiel Cabral, agradecemos tu mensaje, estamos trabajando en mejorar la experiencia de usuario en nuestra app. Por favor llamanos al 0800-888-0282 para poder ayudarte. ¡Gracias! ",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=5b277385-11cc-44d1-b323-0bbe98f24076&corpus=PUBLIC_REVIEWS
com.axionenergy.on,100,1,es,a22x,2023-04-03T14:07:17Z,1.68053E+12,2023-04-03T14:08:08Z,1.68053E+12,1,,"Empecemos con decir que la aplicación anda mal ,casi siempre se cuelga... Y ahora lo importante... a nivel operatoria el inviable: el playero luego de hacer la carga tiene que ir a su garita para ver tu DNI,escanear un Gift QR que tiene ... ingresar el dni en un posnet para que recién tire un tiket y después de todo eso... abonar la compra... Es inviable,no se puede perder tanto tiempo... ni el playero, ni el cliente... hagan como YPF o Shell pago QR con la app y todo solucionado.",2023-04-06T22:04:39Z,1.68082E+12,"Hola Marcos Borozdnyj, agradecemos tu mensaje. Tendremos en cuenta tu comentario y esperamos que nos sigas acompañando. Te contamos que por disposiciones legales y de seguridad no se pueden usar celulares para escanear QRs en la zona de carga del surtidor,por eso los playeros escanean el QR directamente en la caja del surtidor. ¡Gracias! ",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=afa47dd0-64c6-4d30-b29a-9c0b0420f96e&corpus=PUBLIC_REVIEWS
com.axionenergy.on,100,1,es,dreamlte,2023-04-04T15:07:17Z,1.68062E+12,2023-04-04T15:07:17Z,1.68062E+12,1,,"Anda re mal la aplicación, después de que pones entiendo a todas las opciones y fililizar vuelven a aparecer los mismos carteles y no te deja ver el perfil o navegar en la App.",2023-04-06T22:06:04Z,1.68082E+12,"Hola Nicolas Pujadas, agradecemos tu mensaje, estamos trabajando en mejorar la experiencia de usuario en nuestra app. Por favor llamanos al 0800-888-0282 para poder ayudarte. ¡Gracias! ",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=e86e1655-4ac2-4179-9142-4860b4e09fac&corpus=PUBLIC_REVIEWS
com.axionenergy.on,100,1,es,sanders_n,2023-04-04T18:40:37Z,1.68063E+12,2023-04-04T18:40:37Z,1.68063E+12,1,,"Malísima! Quise crear una cuenta y despues de poner mi fecha de nacimiento se queda sin hacer nada, no me deja continuar al siguiente paso, todavia tiene erroress de desarrollo, no entiendo como la lanzaron al público sin testearla. MALISIMA!!!",2023-04-06T22:06:29Z,1.68082E+12,"Hola Gabriel Cianciarulo, agradecemos tu mensaje, estamos trabajando en mejorar la experiencia de usuario en nuestra app. Por favor llamanos al 0800-888-0282 para poder ayudarte. ¡Gracias! ",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=6b105e9c-ce18-4d65-a5f8-9ffe0d5744b4&corpus=PUBLIC_REVIEWS
com.axionenergy.on,100,1,es,surya,2023-04-04T22:15:13Z,1.68065E+12,2023-04-04T22:15:13Z,1.68065E+12,1,,"Primer cupón de descuento y no me hicieron ningún descuento, por ahora u fraude, si mejora le cambiaré mi opinión",2023-04-06T22:06:47Z,1.68082E+12,"Hola Diego Cupaiolo, agradecemos tu mensaje, estamos trabajando en mejorar la experiencia de usuario en nuestra app. Por favor llamanos al 0800-888-0282 para poder ayudarte. ¡Gracias! ",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=c8ee9974-e345-4cd5-b39f-980fa6de82fd&corpus=PUBLIC_REVIEWS
com.axionenergy.on,100,1,es,a51,2023-04-04T23:33:13Z,1.68065E+12,2023-04-04T23:33:13Z,1.68065E+12,1,,"Me pude registrar, voy a utilizar el cupón de descuento de Primera Carga y me dice que llegué al limite de canjes para este beneficio. No la descarguen.",2023-04-06T22:07:28Z,1.68082E+12,"Hola Alex Fuentes, agradecemos tu mensaje, estamos trabajando en mejorar la experiencia de usuario en nuestra app. Cuando te mencione lo del límite de canjes, por favor revisá si tenés el beneficio generado en Mis Cupones y sino por favor comunicate con nosotros al 0800-888-0282 para poder ayudarte. ¡Gracias! ",http://play.google.com/console/developers/4990580764130084460/app/4975284850460070403/user-feedback/review-details?reviewId=9ba6c3a2-ecbd-4b00-a900-41620053878b&corpus=PUBLIC_REVIEWS
